1361,Slytherin
1362,Gryffindor
1363,Gryffindor
1364,Ravenclaw
1365,Hufflepuff
1366,Hufflepuff
1367,Slytherin
1368,Ravenclaw
1369,Hufflepuff
1370,Gryffindor
1371,Ravenclaw
1372,Ravenclaw
1373,Hufflepuff
1374,Slytherin
1375,Hufflepuff
1376,Gryffindor
1377,Gryffindor
1378,Ravenclaw
1379,Slytherin
1380,Hufflepuff
1381,Ravenclaw
1382,Hufflepuff
1383,Ravenclaw
1384,Ravenclaw
1385,Hufflepuff
1386,Hufflepuff
1387,Ravenclaw
1388,Ravenclaw
1389,Ravenclaw
1390,Gryffindor
1391,Hufflepuff
1392,Ravenclaw
1393,Slytherin
1394,Ravenclaw
1395,Hufflepuff
1396,Ravenclaw
1397,Gryffindor
1398,Hufflepuff
1399,Gryffindor
1400,Gryffindor
1401,Slytherin
1402,Slytherin
1403,Ravenclaw
1404,Gryffindor
1405,Gryffindor
1406,Gryffindor
1407,Ravenclaw
1408,Hufflepuff
1409,Hufflepuff
1410,Gryffindor
1411,Hufflepuff
1412,Slytherin
1413,Ravenclaw
1414,Ravenclaw
1415,Hufflepuff
1416,Slytherin
1417,Gryffindor
1418,Ravenclaw
1419,Ravenclaw
1420,Hufflepuff
1421,Ravenclaw
1422,Hufflepuff
1423,Gryffindor
1424,Slytherin
1425,Hufflepuff
1426,Hufflepuff
1427,Hufflepuff
1428,Ravenclaw
1429,Ravenclaw
1430,Slytherin
1431,Ravenclaw
1432,Hufflepuff
1433,Ravenclaw
1434,Gryffindor
1435,Hufflepuff
1436,Slytherin
1437,Gryffindor
1438,Hufflepuff
1439,Hufflepuff
1440,Gryffindor
1441,Slytherin
1442,Hufflepuff
1443,Gryffindor
1444,Ravenclaw
1445,Gryffindor
1446,Hufflepuff
1447,Slytherin
1448,Ravenclaw
1449,Slytherin
1450,Ravenclaw
1451,Gryffindor
1452,Slytherin
1453,Hufflepuff
1454,Ravenclaw
1455,Hufflepuff
1456,Hufflepuff
1457,Gryffindor
1458,Gryffindor
1459,Hufflepuff
1460,Ravenclaw
1461,Slytherin
1462,Gryffindor
1463,Hufflepuff
1464,Hufflepuff
1465,Ravenclaw
1466,Hufflepuff
1467,Hufflepuff
1468,Hufflepuff
1469,Ravenclaw
1470,Slytherin
1471,Hufflepuff
1472,Slytherin
1473,Hufflepuff
1474,Gryffindor
1475,Hufflepuff
1476,Slytherin
1477,Ravenclaw
1478,Ravenclaw
1479,Slytherin
1480,Slytherin
1481,Ravenclaw
1482,Hufflepuff
1483,Hufflepuff
1484,Ravenclaw
1485,Hufflepuff
1486,Hufflepuff
1487,Slytherin
1488,Hufflepuff
1489,Ravenclaw
1490,Ravenclaw
1491,Hufflepuff
1492,Gryffindor
1493,Hufflepuff
1494,Ravenclaw
1495,Gryffindor
1496,Hufflepuff
1497,Slytherin
1498,Hufflepuff
1499,Ravenclaw
1500,Ravenclaw
1501,Hufflepuff
1502,Ravenclaw
1503,Gryffindor
1504,Hufflepuff
1505,Ravenclaw
1506,Hufflepuff
1507,Slytherin
1508,Slytherin
1509,Hufflepuff
1510,Hufflepuff
1511,Gryffindor
1512,Ravenclaw
1513,Ravenclaw
1514,Ravenclaw
1515,Ravenclaw
1516,Ravenclaw
1517,Hufflepuff
1518,Ravenclaw
1519,Gryffindor
1520,Gryffindor
1521,Ravenclaw
1522,Ravenclaw
1523,Ravenclaw
1524,Hufflepuff
1525,Hufflepuff
1526,Hufflepuff
1527,Hufflepuff
1528,Hufflepuff
1529,Gryffindor
1530,Hufflepuff
1531,Ravenclaw
1532,Slytherin
1533,Ravenclaw
1534,Ravenclaw
1535,Gryffindor
1536,Hufflepuff
1537,Hufflepuff
1538,Ravenclaw
1539,Slytherin
1540,Hufflepuff
1541,Hufflepuff
1542,Ravenclaw
1543,Hufflepuff
1544,Hufflepuff
1545,Slytherin
1546,Hufflepuff
1547,Gryffindor
1548,Slytherin
1549,Gryffindor
1550,Slytherin
1551,Ravenclaw
1552,Ravenclaw
1553,Hufflepuff
1554,Gryffindor
1555,Ravenclaw
1556,Ravenclaw
1557,Hufflepuff
1558,Ravenclaw
1559,Ravenclaw
1560,Ravenclaw
1561,Ravenclaw
1562,Ravenclaw
1563,Hufflepuff
1564,Ravenclaw
1565,Gryffindor
1566,Gryffindor
1567,Ravenclaw
1568,Ravenclaw
1569,Ravenclaw
1570,Hufflepuff
1571,Slytherin
1572,Hufflepuff
1573,Gryffindor
1574,Ravenclaw
1575,Ravenclaw
1576,Ravenclaw
1577,Ravenclaw
1578,Gryffindor
1579,Slytherin
1580,Hufflepuff
1581,Slytherin
1582,Ravenclaw
1583,Slytherin
1584,Slytherin
1585,Hufflepuff
1586,Slytherin
1587,Hufflepuff
1588,Slytherin
1589,Hufflepuff
1590,Ravenclaw
1591,Slytherin
1592,Gryffindor
1593,Ravenclaw
1594,Hufflepuff
1595,Gryffindor
1596,Hufflepuff
1597,Gryffindor
1598,Hufflepuff
1599,Hufflepuff
